Date,Day in Sprint,Ideal Burndown Rate*,Story Points Remaining
2/25/2014,1,140,140
2/26/2014,2,136,140
2/27/2014,3,132,140
2/28/2014,4,128,136
3/1/2014,5,124,132
3/2/2014,6,120,128
3/3/2014,7,116,128
3/4/2014,8,112,128
3/5/2014,9,108,128
3/6/2014,10,104,128
3/7/2014,11,100,128
3/8/2014,12,96,128
3/9/2014,13,92,128
3/10/2014,14,88,128
3/11/2014,15,84,128
3/12/2014,16,80,128
3/13/2014,17,76,128
3/14/2014,18,72,128
3/15/2014,19,68,128
3/16/2014,20,64,128
3/17/2014,21,60,124
3/18/2014,22,56,120
3/19/2014,23,52,104
3/20/2014,24,48,96
3/21/2014,25,44,88
3/22/2014,26,40,76
3/23/2014,27,36,72
3/24/2014,28,32,68
3/25/2014,29,28,64
3/26/2014,30,24,60
3/27/2014,31,20,56
3/28/2014,32,16,52
3/29/2014,33,12,48
3/30/2014,34,8,44
3/31/2014,35,4,44
4/1/2014,36,0,44
,,"* Not taking weekends, spring break into account",
